9;24
27;72
95;33
6;26
85;83
13;14
95;21
2;8
7;7
8;74
34;36
25;86
74;44
28;3
12;97
30;65
30;25
7;2
35;30
14;21
30;88
97;22
65;92
9;32
48;49
57;1
24;87
74;6
50;79
12;95
15;35
72;42
10;5
22;81
13;58
10;57
95;44
43;11
7;12
56;1
91;74
91;65
96;23
68;83
23;46
25;13
100;48
28;27
96;2
89;43
32;99
16;33
11;4
79;7
97;80
74;83
10;54
67;86
32;86
32;90
45;47
30;16
94;23
54;76
52;21
91;55
84;70
86;98
8;85
51;51
96;53
18;67
66;38
48;47
93;89
50;92
31;97
85;69
68;13
51;76
19;75
59;23
36;83
87;89
61;22
77;6
86;78
97;43
45;71
25;46
10;84
60;41
42;9
2;63
34;2
88;38
3;58
37;53
42;85
78;9
34;22
2;17
68;28
78;22
96;77
83;1
19;79
62;52
97;86
9;15
5;99
30;79
9;46
30;2
59;2
46;1
2;87
8;84
42;100
31;30
36;21
51;74
46;23
21;79
14;11
80;2
79;90
93;79
12;38
31;71
95;66
28;84
30;88
11;11
78;10
22;84
56;97
46;58
39;63
14;65
66;86
40;81
84;73
82;25
29;65
62;85
6;49
26;90
63;24
98;17
61;26
89;70
4;7
62;52
52;63
30;14
11;60
29;7
12;67
25;50
50;83
41;59
50;57
56;72
56;38
48;55
29;8
45;37
21;33
37;27
36;56
78;39
9;13
81;86
75;79
72;23
28;11
67;24
33;68
49;24
85;63
22;9
67;58
92;77
55;53
95;71
5;70
29;39
14;10
59;62
24;17
37;59
80;39
90;61
18;21
30;38
1;43
52;52
92;14
81;91
94;80
32;32
61;91
57;45
36;92
26;88
37;15
27;76
55;39
58;57
24;58
77;23
58;97
28;59
90;32
88;86
57;88
71;44
86;90
64;34
4;48
2;62
11;39
46;19
6;2
69;89
30;77
52;22
21;61
90;67
34;14
91;36
92;18
27;9
18;4
13;39
89;82
79;88
77;40
36;86
75;49
63;20
50;79
20;73
60;49
90;90
88;11
12;34
49;81
41;56
48;33
98;72
83;49
78;56
47;89
96;96
8;88
86;56
94;36
57;35
55;9
5;2
88;8
21;57
53;95
75;62
27;34
46;11
69;33
99;65
85;94
83;69
35;65
52;87
83;86
46;27
69;46
20;22
79;25
13;23
72;87
79;78
95;72
70;6
84;74
16;27
58;49
56;67
43;43
18;9
41;55
14;24
80;13
12;31
49;47
18;35
100;15
18;74
54;92
84;72
64;22
19;12
33;64
6;86
83;25
86;85
35;31
63;34
60;57
67;33
18;87
78;69
72;63
66;73
65;74
86;90
12;77
42;14
68;51
2;42
57;10
80;2
88;38
79;35
81;88
67;44
95;50
96;55
81;11
74;94
6;4
78;16
1;22
30;45
57;21
30;82
59;96
44;28
90;40
15;61
3;90
7;45
35;90
97;38
89;17
14;59
87;25
3;98
73;66
40;39
24;25
70;58
4;37
24;56
94;11
9;33
61;75
99;17
39;10
81;50
57;77
95;12
38;37
17;87
91;98
96;89
7;75
88;17
53;96
30;16
34;57
38;61
89;19
42;13
63;96
56;93
46;78
18;18
86;23
59;58
17;56
47;74
39;44
26;25
40;52
88;88
56;64
92;23
84;49
45;26
66;27
9;22
29;85
82;97
92;31
4;85
64;9
62;94
57;89
1;11
37;15
82;49
39;89
49;60
25;89
12;87
24;46
3;22
9;97
81;8
66;55
50;82
27;48
70;6
18;75
70;11
76;77
69;15
32;50
46;62
56;60
19;26
89;30
27;19
58;16
12;33
85;63
18;74
83;63
100;60
1;53
70;93
27;80
19;71
46;47
99;33
73;38
14;84
60;77
30;79
11;24
49;79
50;2
92;60
68;49
94;60
88;76
36;11
62;87
42;72
67;87
35;46
14;70
13;89
86;42
41;80
50;8
89;33
60;42
30;13
